,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,-1E-30,15.57829,18.80562,19.20291,20.29322,20.79429,21.51402,21.76114,22.66894,22.86588,22.65398,23.11345,22.76259,21.71007,21.9,21.34313,20.06347,19.13269,17.36203,14.26795,10.78507,9.028416,8.441669,8.160181,7.774068,7.173266,6.586668,6.263238,5.686129,4.355291,3.294107,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
1,-1E-30,15.94145,18.35456,19.02041,19.81821,20.77691,21.48204,21.968,22.57039,22.78404,22.30219,22.52714,22.55239,21.63551,22.35036,21.67222,20.09071,19.0713,17.4058,15.622,11.52532,9.479796,9.455138,9.41784,9.105617,8.211337,8.120174,6.588218,6.616694,5.699371,4.663936,2.921504,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,2.10775,2.818832,2.643944,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
2,-1E-30,15.72975,17.29839,18.64717,19.17625,20.9067,21.71681,22.043,21.80145,21.648,21.74316,21.85109,21.84739,21.40588,22.1301,22.03779,20.34554,18.3796,17.38601,15.43322,11.13009,9.550346,10.06778,10.96319,11.13876,10.82366,9.983765,8.225454,7.125073,6.156621,6.18061,5.771523,3.632333,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,2.010483,1.440767,0.5763487,3.442559,3.553288,2.62,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
3,-1E-30,12.55544,15.00161,15.96871,17.36857,20.03778,20.65849,21.18873,20.9484,21.07464,21.2008,21.19634,20.81025,21.08907,21.93834,21.68486,20.09216,17.52621,17.51022,15.18852,10.59635,10.45557,11.85423,12.46294,11.84383,11.6249,9.782807,9.322565,7.78508,6.325116,6.303097,6.045722,6.376903,5.750675,2.514729,-1E-30,-1E-30,-1E-30,-1E-30,2.62,2.62,2.723829,3.620683,3.72761,2.62,-1E-30,0.7420477,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
4,-1E-30,10.03361,12.14072,11.34841,12.84631,15.57311,19.91846,20.21853,21.7546,21.61196,21.34904,20.23884,19.33348,19.96968,21.43574,21.04915,19.62,17.2384,17.81816,16.24113,13.64295,12.65493,13.387,13.11163,12.21307,10.26289,9.726449,9.62,8.328759,6.958124,6.137546,5.79655,5.990049,6.316504,5.869397,2.62,2.62,-1E-30,-1E-30,2.43512,2.62,3.537892,4.080738,3.946442,2.726087,1.40272,1.560277,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
5,-1E-30,-1E-30,-1E-30,2.651059,3.43291,10.50364,15.67133,17.98154,19.77411,21.44383,21.18634,20.38707,19.87493,19.43682,21.07695,21.39935,19.62,18.07035,18.05105,17.36695,15.45472,13.93361,14.00877,12.53555,12.02337,11.23923,10.12726,9.770025,9.118916,7.471509,6.641172,6.155769,6.454085,7.097697,6.226967,5.858303,2.529775,-1E-30,-1E-30,-1E-30,2.09738,3.099248,3.860812,3.926271,2.80655,0.2918077,0.3508727,0.39902,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
6,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,11.0808,15.47069,19.22243,21.80265,21.43581,19.71324,19.08312,19.57563,20.87639,21.35924,19.62,17.50747,18.00957,17.08615,15.76295,15.30788,14.20255,12.81273,12.02397,11.11128,10.43025,9.942788,9.749696,8.297367,7.188114,6.780601,6.228512,7.374314,5.971063,5.641379,5.62,2.498785,2.206067,1.756985,2.282383,2.125094,4.523125,4.251521,2.883933,0.3424076,0.6915488,0.3513865,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
7,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,7.037506,12.93218,17.73488,19.12494,20.12886,19.83279,17.59255,19.07449,20.97161,20.32798,19.62,17.11484,17.53631,16.04509,15.70707,15.34804,13.95745,12.78986,12.26862,11.59678,10.35498,9.855218,10.21531,9.62,9.115712,7.264495,7.021018,6.719672,5.767534,5.394434,5.62,5.62,2.539825,2.62,2.62,2.86542,4.775947,4.732422,3.433517,1.409167,1.699362,1.751711,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
8,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,2.810665,11.27017,14.09936,15.65386,19.93082,19.62,18.56633,17.58571,19.73054,20.03375,19.62,17.13201,17.23674,17.10991,14.79719,15.21332,13.83708,13.1258,12.44473,11.39938,9.825467,10.05268,10.71853,10.29233,8.97508,8.088123,6.84183,6.037467,6.170026,5.62,4.970634,5.62,3.631392,3.121419,3.542575,3.909379,5.62,5.501945,4.734749,1.507297,1.279562,1.36995,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
9,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,5.624133,10.30438,15.44054,20.11546,19.62,18.53403,17.66624,20.05112,19.68758,19.62,18.07725,17.39959,16.64739,16.56768,14.95661,14.55948,13.67136,12.2893,11.83745,10.05598,10.40457,10.76685,10.68822,9.62,8.633273,7.150051,5.986772,6.422059,5.270515,3.93666,5.62,5.261583,4.711406,5.473644,4.974505,6.029373,5.62,5.771308,2.62,1.452166,1.447554,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
